age,income,marital_status,children,gender,purchase
62,111980,1,2,1,0
65,107314,0,3,1,0
18,56209,1,1,1,1
21,28010,1,3,0,1
21,79618,0,2,0,1
57,99073,0,2,0,0
27,71115,1,3,1,0
37,91299,1,4,0,0
39,39340,1,2,1,1
68,92932,1,4,1,1
54,73121,0,1,0,0
41,34705,1,2,1,1
24,76448,1,3,0,1
42,106823,0,4,1,1
42,45274,0,1,0,0
30,102212,1,0,1,1
19,51075,1,1,0,0
56,73251,1,4,1,1
57,90882,1,2,0,1
41,43417,1,2,0,1
64,116700,0,0,1,0
42,33729,0,4,1,0
35,43836,1,2,0,0
55,76132,0,2,1,0
43,89658,1,4,0,0
31,86272,0,1,0,0
26,46872,1,3,0,1
27,103891,1,1,1,0
38,31465,0,4,0,1
69,99285,1,1,0,0
34,119975,1,2,1,0
69,53374,1,4,1,0
23,38504,1,2,0,0
33,65302,1,2,1,0
65,78503,1,2,1,1
18,35835,0,1,0,0
36,27788,0,3,1,1
53,72547,1,0,0,0
42,44404,1,3,0,0
67,46951,0,0,0,1
69,110707,0,4,0,1
47,58111,0,3,0,0
37,87840,0,0,0,1
37,31909,1,2,0,0
32,119435,1,4,0,1
57,117182,0,3,1,1
50,34281,0,1,0,1
19,38387,0,4,1,1
27,80935,0,2,0,0
50,80565,1,2,1,1
49,109564,0,2,0,1
28,33704,0,0,0,1
41,70859,0,3,0,1
53,29774,1,4,1,1
29,93728,1,3,0,1
68,93064,1,3,1,1
46,118995,0,0,0,0
52,113258,1,0,1,0
18,38931,1,2,1,0
18,112898,0,3,0,1
54,88219,1,0,1,0
23,44919,0,2,0,1
56,100992,1,4,0,1
58,92531,1,0,0,0
35,48954,0,0,0,1
33,91712,0,4,0,1
22,113299,1,4,0,0
59,59366,1,0,0,1
60,25985,0,4,0,0
49,57292,1,4,1,1
19,119131,0,2,1,1
19,95577,0,0,0,0
57,75986,0,4,1,1
59,30413,1,2,1,0
53,50441,1,0,1,1
56,88740,1,0,0,0
29,80857,1,0,1,0
64,20093,1,4,1,1
36,99249,0,4,1,0
45,55235,1,3,0,1
18,56546,0,2,0,1
32,85940,0,3,1,1
53,25037,1,2,0,0
30,45785,0,1,0,0
60,66031,1,3,1,1
38,85911,0,0,0,1
29,101572,0,1,0,1
22,96478,0,1,0,1
24,117796,1,1,1,1
22,36881,1,2,1,0
65,76818,1,4,0,1
21,43757,1,4,1,1
30,29630,0,1,1,0
54,115597,1,4,0,1
58,116087,1,0,0,1
32,90051,0,4,1,0
33,88826,0,2,0,1
38,54330,1,1,1,1
53,82838,0,3,1,1
41,115254,1,0,1,0
33,45036,0,3,0,0
31,116975,1,1,0,1
39,84866,0,1,0,1
66,48250,1,3,1,0
67,117254,0,1,1,0
23,36080,1,1,1,1
59,78812,1,1,1,0
53,76111,1,4,0,0
18,90272,1,4,0,1
49,23466,1,2,1,0
23,40427,1,3,1,0
48,90238,0,0,0,1
18,58406,1,3,0,1
67,60621,0,3,1,1
68,68373,1,2,1,0
54,91070,0,4,1,0
52,67273,1,0,1,1
66,59078,0,0,1,1
47,22987,1,2,0,0
21,41074,0,1,1,1
52,48039,1,3,1,1
60,88828,0,3,1,1
31,58569,0,0,1,1
66,31100,0,3,1,1
57,61294,1,0,0,0
39,110853,0,4,1,0
27,45819,1,4,1,1
18,117526,1,0,0,1
28,28292,1,2,0,0
68,95997,1,3,1,0
61,60444,0,0,0,0
41,110286,1,2,0,0
20,110717,0,4,1,1
52,93330,1,3,1,1
53,40129,0,3,0,1
48,57644,1,4,1,1
21,105728,1,1,1,1
36,62729,0,0,0,1
64,61808,1,2,1,0
53,107496,1,2,0,1
38,115219,1,1,1,1
35,22173,1,2,0,1
68,94890,1,2,0,1
45,106640,1,3,0,0
32,26874,1,0,1,0
59,103099,1,3,0,0
19,110808,0,4,1,0
54,109208,1,3,1,1
28,81761,0,1,1,1
40,104416,1,0,1,0
61,22757,0,1,0,0
58,32120,0,0,1,0
29,43842,0,0,0,0
20,89583,1,0,1,1
69,103971,1,2,0,1
34,72462,0,3,1,0
50,93381,1,2,1,1
18,63864,1,2,1,0
56,85094,0,3,1,0
37,93364,1,1,1,0
64,111014,0,0,1,1
60,41107,0,1,1,0
69,24930,1,1,1,1
58,69756,0,4,0,1
31,77308,1,2,1,1
48,110981,1,0,1,1
42,105371,1,3,1,0
20,40165,1,1,0,1
21,98957,0,4,0,1
48,20100,1,4,0,0
52,73942,1,1,0,0
61,94573,1,1,1,0
31,26037,0,4,1,1
66,74779,0,2,1,1
58,45247,1,4,0,0
26,72817,1,4,1,1
37,44813,1,4,1,1
49,68371,1,2,0,0
26,67354,1,2,1,1
44,116648,0,2,0,0
20,76062,1,3,1,0
21,101941,0,3,1,0
62,42957,0,3,0,1
32,58870,1,3,0,1
50,110512,0,0,1,1
22,49849,1,0,0,1
21,88727,0,0,1,0
63,62661,0,1,1,0
29,60831,1,0,0,1
40,59308,0,1,1,0
31,23418,1,4,0,0
63,94314,1,0,1,1
29,51739,1,2,0,1
34,74198,1,3,0,0
42,61790,1,1,1,1
47,116455,1,4,0,0
39,105125,0,0,0,1
64,41674,0,3,0,0
43,91818,1,2,1,0
34,21337,0,4,1,1
37,56315,0,2,0,0
51,33657,1,0,0,0
