rpm,group
474.5515925513307,a
450.5484195784479,a
563.7209336378651,a
506.8869661280706,a
471.7240494096924,a
538.6644442147226,a
523.5849243081431,a
469.8955019359629,a
496.4118731952008,a
544.1440648693114,a
547.3936031358018,a
529.6697279438455,a
434.20037985396334,a
482.3631458151815,a
505.4182370488053,a
531.0958080702811,a
452.32667427283934,a
497.24396668114514,a
482.2771446558088,a
506.1395734129542,a
478.5652416719187,a
433.89794772881794,a
455.2498295081668,a
482.4970528359287,a
502.7710464192313,a
492.3292865990363,a
502.1818807100518,a
515.2216476636557,a
535.4970043750835,a
471.56390533801886,a
494.83924517262005,a
481.7312126894471,a
552.8392070852683,a
517.074437709608,a
467.4595454310525,a
466.19058653136494,a
459.9272040821722,a
450.63080780420944,a
503.62159411794215,a
462.16097223101394,a
514.6021321381876,a
493.05229278980414,a
503.4005602439653,a
477.8368809051327,a
528.2391849712087,a
472.1071372372455,a
504.5969810750182,a
467.7807345439013,a
479.8052953388232,a
482.2771446558088,a
521.7197395443294,a
505.99229345038447,a
511.89853194606127,a
486.15468593779184,a
439.70705676389184,a
476.5558183511234,a
478.9454690164317,a
530.5335177676305,a
508.84975381880827,a
520.8714955507689,a
480.6909800442611,a
519.0489593979432,a
501.2787306901818,a
497.3835905542508,a
513.3031908304056,a
500.6651572972978,a
505.9657944304949,a
527.3994018104927,a
479.0207812666845,a
476.2368514743989,a
502.7438558432754,b
521.4419184848803,b
507.0208622757587,b
443.8872314883906,b
485.64786727471926,b
496.9034845466677,b
508.1344572981403,b
478.0229254032877,b
545.1832108163923,b
515.4193050904621,b
553.8232884135069,b
583.7465265601771,b
542.4305598185906,b
512.0257159119724,b
540.5555201840646,b
494.8027219952005,b
520.4274944035379,b
559.5911626547517,b
519.8178084946976,b
485.97791407162725,b
456.7750870323711,b
461.270979756502,b
477.5054394783979,b
518.702367780945,b
514.5921697365034,b
516.4077405599133,b
496.2133225148558,b
502.6608141692944,b
476.56516845196273,b
514.9465233914445,b
469.1041490047776,b
553.8885010330358,b
500.7539206839479,b
509.2444730756349,b
521.8872037694751,b
497.1924173405613,b
511.4513566671516,b
473.08690948263046,b
473.8375641111911,b
481.91358379782326,b
489.9227649641792,b
518.3727578186966,b
528.9925122966829,b
531.903314575504,b
542.7908514982526,b
533.9688810762585,b
509.45186603052366,b
471.8329638976479,b
492.1117242602955,b
543.4541631648508,b
481.2243182845013,b
491.298829907493,b
477.704993619329,b
482.7783778263314,b
465.190116194943,b
554.5899313107313,b
509.2508540444188,b
458.2342751315778,b
480.8348931173728,b
511.6782361409183,b
452.4762246529638,b
570.2502804749761,b
473.2691086768068,b
481.711257361611,b
452.82587064805927,b
508.80247491997807,b
485.9816269012069,b
499.2895250271169,b
520.8953802910262,b
506.4588125384757,b
