생산공장명,상태
A,불량
A,정상
B,정상
A,정상
A,불량
A,정상
A,정상
A,정상
B,정상
A,정상
B,정상
B,정상
A,정상
B,정상
B,불량
A,정상
A,정상
B,정상
B,정상
B,정상
A,불량
B,정상
A,정상
B,정상
A,정상
B,정상
A,불량
B,정상
B,정상
B,정상
A,정상
B,정상
B,정상
B,정상
A,정상
A,정상
A,정상
B,정상
A,정상
A,정상
A,불량
A,정상
A,정상
A,정상
B,정상
B,정상
A,정상
A,정상
A,정상
A,정상
A,정상
A,정상
B,정상
A,정상
B,정상
A,정상
A,정상
B,불량
A,정상
A,정상
A,정상
B,정상
B,정상
B,불량
A,정상
B,정상
B,정상
A,정상
A,정상
A,정상
A,불량
B,정상
B,정상
B,정상
B,정상
A,정상
A,정상
A,정상
A,정상
B,정상
A,정상
B,정상
A,정상
A,정상
B,정상
B,정상
A,정상
A,정상
B,정상
A,정상
A,정상
A,정상
A,불량
A,정상
A,정상
B,정상
B,정상
B,정상
A,정상
B,정상
A,불량
B,정상
A,정상
B,정상
A,정상
B,불량
A,정상
B,정상
A,정상
B,정상
A,정상
B,불량
B,정상
A,정상
A,정상
A,정상
A,정상
A,정상
A,불량
A,정상
A,정상
A,정상
B,정상
B,정상
B,정상
B,정상
B,정상
B,정상
B,정상
A,정상
B,정상
B,정상
B,정상
B,정상
A,불량
A,정상
A,정상
A,정상
A,정상
B,정상
B,정상
A,정상
B,정상
B,정상
B,정상
A,정상
B,정상
A,정상
A,정상
A,정상
B,정상
A,정상
B,정상
B,정상
A,정상
A,정상
B,정상
B,불량
A,정상
B,정상
A,정상
B,정상
A,정상
A,불량
B,정상
A,정상
A,정상
B,정상
B,정상
B,불량
B,정상
A,정상
A,정상
B,정상
B,정상
A,정상
A,정상
A,정상
A,정상
A,불량
B,정상
A,정상
A,정상
B,정상
A,정상
B,정상
B,정상
B,정상
B,정상
A,정상
B,정상
A,정상
A,정상
A,정상
A,정상
A,정상
A,정상
B,정상
A,정상
A,정상
B,정상
B,정상
B,정상
B,정상
A,정상
A,정상
A,정상
B,불량
B,정상
A,정상
B,정상
B,정상
A,정상
A,정상
B,정상
B,불량
B,불량
B,정상
A,정상
A,정상
A,정상
A,정상
A,불량
A,정상
B,정상
B,정상
A,불량
A,정상
A,정상
A,정상
B,정상
A,정상
A,정상
B,정상
A,정상
A,정상
A,정상
A,정상
B,정상
A,정상
A,불량
B,정상
A,정상
B,정상
B,정상
A,정상
A,정상
A,정상
A,정상
B,정상
B,정상
A,정상
B,정상
A,정상
A,정상
A,정상
A,정상
B,정상
A,정상
B,정상
B,정상
B,정상
B,정상
A,정상
A,정상
A,정상
A,정상
A,정상
B,정상
A,불량
B,불량
B,정상
B,정상
B,정상
A,불량
A,정상
B,정상
B,정상
A,정상
B,불량
A,정상
A,정상
B,정상
A,정상
B,정상
B,정상
A,불량
A,정상
A,정상
A,정상
B,정상
A,불량
A,정상
B,정상
B,정상
A,정상
A,정상
A,정상
B,정상
B,정상
B,정상
A,정상
B,정상
A,정상
B,정상
A,정상
A,정상
A,정상
A,정상
B,정상
A,정상
B,불량
A,불량
A,정상
B,정상
A,정상
B,정상
A,정상
B,불량
B,정상
A,정상
B,정상
A,불량
A,정상
B,정상
B,불량
A,정상
A,정상
B,정상
A,정상
A,정상
A,정상
A,정상
B,정상
B,정상
B,정상
A,정상
A,정상
A,정상
A,정상
B,정상
A,정상
B,정상
B,정상
B,정상
B,정상
B,정상
B,정상
A,정상
A,정상
B,정상
A,정상
A,정상
B,정상
B,정상
B,정상
A,정상
A,정상
B,정상
B,정상
B,정상
B,정상
A,정상
B,정상
B,정상
B,정상
A,정상
A,정상
A,정상
B,정상
A,정상
B,정상
A,불량
B,정상
B,불량
A,정상
A,정상
A,정상
A,정상
A,정상
A,정상
B,정상
B,정상
B,정상
B,정상
B,정상
A,정상
B,정상
A,정상
A,정상
B,정상
A,불량
A,정상
A,정상
A,정상
B,정상
A,불량
A,정상
B,정상
A,정상
A,정상
A,정상
B,정상
A,정상
B,정상
A,정상
A,정상
B,정상
B,불량
A,정상
A,정상
B,정상
B,정상
A,정상
A,정상
B,정상
B,정상
B,정상
A,정상
B,정상
A,정상
A,불량
A,정상
A,정상
B,정상
B,불량
A,정상
A,정상
A,정상
A,불량
B,정상
B,정상
A,정상
B,정상
A,불량
A,정상
A,정상
B,정상
A,정상
B,불량
B,정상
A,정상
A,정상
A,정상
B,정상
A,정상
B,정상
B,정상
A,정상
A,정상
A,정상
A,정상
A,불량
A,정상
A,정상
A,정상
A,정상
A,정상
B,정상
A,정상
A,정상
A,정상
B,정상
A,정상
A,정상
A,정상
A,정상
A,정상
A,불량
A,정상
A,정상
B,정상
A,불량
A,정상
B,정상
B,정상
A,정상
A,정상
A,정상
A,정상
B,정상
B,정상
B,불량
A,정상
A,정상
A,불량
B,정상
B,정상
A,정상
B,정상
A,정상
A,불량
B,정상
A,정상
B,정상
A,정상
B,정상
A,정상
A,정상
B,정상
A,정상
B,정상
B,정상
B,정상
A,정상
A,정상
A,정상
B,정상
A,정상
B,불량
B,정상
A,정상
A,정상
A,정상
A,정상
A,정상
B,정상
A,정상
A,정상
B,정상
A,정상
B,정상
B,정상
B,정상
B,정상
A,정상
B,정상
A,불량
A,정상
A,정상
B,정상
B,정상
A,정상
A,정상
A,정상
A,정상
A,정상
A,정상
A,정상
A,정상
B,정상
A,정상
B,정상
A,정상
B,정상
B,정상
A,정상
A,정상
